"";"Huurprijs";"Woonoppervlakte";"Type.woning";"persoon.type";"Bouwjaar";"woz_value";"Stofferingstype";"Energielabel";"avg_price";"corrected_avgm2_price";"koopsom.koopjaar";"Gemeente"
"1";1100;45;"apartment";"ingeschreven_natuurlijk_persoon";1976;172000;"furnished or upholstered";"";127500;2718,44660194175;2018;"Utrecht"
"2";700;45;"apartment";"ingeschreven_niet_natuurlijk_persoon";1947;NA;"upholstered";"B";320000;5755,20833333333;2021;"Hengelo"
"3";1250;79;"apartment";"ingeschreven_natuurlijk_persoon";1953;314000;"upholstered";"G";250000;3125;2020;"Gooise Meren"
"4";1950;87;"apartment";"";1891;NA;"upholstered";"C";225000;2678,57142857143;2013;"Roosendaal"
"5";850;40;"apartment";"ingeschreven_natuurlijk_persoon";1920;148000;"shell";"A++";21618,42105;438,743455497382;2014;"Maastricht"
"6";725;33;"apartment";"ingeschreven_natuurlijk_persoon";1920;401000;"upholstered";"";32640;926,829268292683;2017;"Utrecht"
"7";1150;28;"apartment";"ingeschreven_natuurlijk_persoon";1936;307000;"furnished or upholstered";"C";95000;3333,33333333333;2010;"Rotterdam"
"8";1895;64;"apartment";"ingeschreven_niet_natuurlijk_persoon";1907;NA;"unknown";"A";315000;5116,66666666667;2020;"Amsterdam"
"9";1595;78;"house";"ingeschreven_natuurlijk_persoon";1928;374000;"upholstered";"";175000;2243,58974358974;2021;"Rijswijk"
"10";1150;100;"apartment";"ingeschreven_natuurlijk_persoon";1900;270000;"upholstered";"";68500;617,977528089888;2013;"Leeuwarden"
"11";1695;86;"apartment";"ingeschreven_natuurlijk_persoon";2008;356000;"furnished or upholstered";"A";279500;3323,52941176471;2017;"Helmond"
"12";895;55;"apartment";"ingeschreven_natuurlijk_persoon";1978;242000;"upholstered";"E";216000;4090,90909090909;2019;"Tilburg"
"13";2250;74;"apartment";"ingeschreven_niet_natuurlijk_persoon";1888;NA;"upholstered";"";572388,059701493;6705,88235294118;2018;"Amsterdam"
"14";1095;96;"house";"ingeschreven_natuurlijk_persoon";1900;278000;"shell";"D";231818,1818;2531,57894736842;2017;"Maastricht"
"15";1400;60;"apartment";"ingeschreven_natuurlijk_persoon";1985;254000;"furnished";"";260000;4170,83333333333;2023;"Amsterdam"
"16";850;84;"apartment";"ingeschreven_natuurlijk_persoon";1969;150000;"upholstered";"D";112500;1325,30120481928;2018;"Brunssum"
"17";1395;80;"apartment";"ingeschreven_natuurlijk_persoon";1965;266000;"unknown";"C";227500;2843,75;2020;"Leidschendam-Voorburg"
"18";1400;90;"apartment";"ingeschreven_natuurlijk_persoon";1917;408000;"furnished";"E";7948,729583;118,084765647059;1989;"Den Haag"
"19";1045;50;"apartment";"ingeschreven_natuurlijk_persoon";1969;155000;"upholstered";"C";93289,66667;1846,84684684685;2018;"Groningen"
"20";1750;80;"apartment";"ingeschreven_natuurlijk_persoon";2020;483000;"upholstered";"A";467812,5;6237,5;2022;"Rotterdam"
"21";875;56;"studio";"ingeschreven_natuurlijk_persoon";1982;331000;"upholstered";"";14285,71429;300,505050545455;1996;"Den Bosch"
"22";1475;85;"apartment";"ingeschreven_niet_natuurlijk_persoon";1897;NA;"upholstered";"A";283333,3333;3260,98901098901;2018;"Rotterdam"
"23";995;70;"apartment";"kadaster_natuurlijk_persoon";1700;197000;"upholstered";"";70000;1054,85232067511;2009;"Leiden"
"24";1325;124;"apartment";"ingeschreven_natuurlijk_persoon";1992;330000;"upholstered";"";180000;1385,49618320611;2001;"Nijmegen"
"25";1350;60;"apartment";"ingeschreven_natuurlijk_persoon";1979;248000;"furnished";"C";190000;3116,66666666667;2019;"Rheden"
"26";1195;40;"apartment";"ingeschreven_natuurlijk_persoon";1923;134000;"upholstered";"D";732727,272727273;13636,3636363636;2019;"Deventer"
"27";1450;70;"apartment";"ingeschreven_niet_natuurlijk_persoon";1985;NA;"upholstered";"C";472222,2222;6786,91428571429;2018;"Eindhoven"
"28";1550;110;"apartment";"ingeschreven_natuurlijk_persoon";1927;369000;"upholstered";"A";2e+05;1767,85714285714;2010;"Arnhem"
"29";1395;53;"apartment";"ingeschreven_natuurlijk_persoon";1920;189000;"furnished";"";77500;1324,07407407407;2019;"Groningen"
"30";1400;60;"apartment";"ingeschreven_natuurlijk_persoon";1989;339000;"furnished";"";98214,2857142857;1724,13793103448;2009;"Rotterdam"
"31";760;46;"apartment";"ingeschreven_natuurlijk_persoon";1983;201000;"upholstered";"";83823,8484848485;1846,84684684685;2017;"Laren"
"32";1475;90;"house";"ingeschreven_natuurlijk_persoon";1992;340000;"upholstered";"B";329000;3611,11111111111;2021;"Maastricht"
