Gemeente code;Gemeentenaam;Tarief woningen;;
1979;Eemsdelta;0,1523;;
0014;Groningen;0,1471;;
1966;Het Hogeland;0,1514;;
1952;Midden-Groningen;0,1891;;
1895;Oldambt;0,1641;;
0765;Pekela;0,2034;;
0037;Stadskanaal;0,1463;;
0047;Veendam;0,1865;;
1969;Westerkwartier;0,1178;;
1950;Westerwolde;0,1342;;
0059;Achtkarspelen;0,1233;;
0060;Ameland;0,0659;;
1891;Dantumadiel;0,1486;;
1940;De Fryske Marren;0,0918;;
0072;Harlingen;0,0953;;
0074;Heerenveen;0,1125;;
0080;Leeuwarden;0,1084;;
1970;Noardeast-Fryslân;0,1200;;
0085;Ooststellingwerf;0,0800;;
0086;Opsterland;0,0797;;
0088;Schiermonnikoog;0,0827;;
0090;Smallingerland;0,1042;;
1900;Súdwest Fryslân;0,1059;;
0093;Terschelling;0,0810;;
0737;Tytsjerksteradiel;0,1515;;
0096;Vlieland;0,0667;;
1949;Waadhoeke;0,1111;;
0098;Weststellingwerf;0,0892;;
1680;Aa en Hunze;0,0926;;
0106;Assen;0,1345;;
1681;Borger-Odoorn;0,1574;;
0109;Coevorden;0,1396;;
1690;De Wolden;0,0884;;
0114;Emmen;0,1419;;
0118;Hoogeveen;0,1475;;
0119;Meppel;0,1030;;
1731;Midden-Drenthe;0,0979;;
1699;Noordenveld;0,0950;;
1701;Westerveld;0,1010;;
1730;Tynaarlo;0,0839;;
0141;Almelo;0,1189;;
0147;Borne;0,1319;;
0148;Dalfsen;0,0964;;
1774;Dinkelland;0,1080;;
0150;Deventer;0,1096;;
0153;Enschede;0,1083;;
0158;Haaksbergen;0,1108;;
0160;Hardenberg;0,0907;;
0163;Hellendoorn;0,1085;;
0164;Hengelo;0,1102;;
1735;Hof van Twente;0,1109;;
0166;Kampen;0,1037;;
0168;Losser;0,1133;;
0173;Oldenzaal;0,0986;;
1773;Olst-Wijhe;0,1285;;
0175;Ommen;0,0784;;
0177;Raalte;0,0932;;
1742;Rijssen-Holten;0,0796;;
0180;Staphorst;0,1072;;
1708;Steenwijkerland;0,0788;;
0183;Tubbergen;0,0916;;
1700;Twenterand;0,1294;;
0189;Wierden;0,0917;;
1896;Zwartewaterland;0,0889;;
0193;Zwolle;0,0947;;
0197;Aalten;0,0960;;
0200;Apeldoorn;0,1001;;
0202;Arnhem;0,1086;;
0203;Barneveld;0,0747;;
1945;Berg en Dal;0,0780;;
1859;Berkelland;0,0970;;
0209;Beuningen;0,1110;;
1876;Bronckhorst;0,0871;;
0213;Brummen;0,1350;;
0214;Buren;0,1247;;
0216;Culemborg;0,1036;;
0221;Doesburg;0,1192;;
0222;Doetinchem;0,0955;;
0225;Druten;0,1006;;
0226;Duiven;0,0977;;
0228;Ede;0,0829;;
0230;Elburg;0,0940;;
0232;Epe;0,0754;;
0233;Ermelo;0,1373;;
0243;Harderwijk;0,0918;;
0244;Hattem;0,1205;;
0246;Heerde;0,1198;;
0252;Heumen;0,1249;;
1705;Lingewaard;0,1296;;
0262;Lochem;0,0597;;
0263;Maasdriel;0,0862;;
1955;Montferland;0,1168;;
1740;Neder-Betuwe;0,1234;;
0267;Nijkerk;0,0795;;
0268;Nijmegen;0,1722;;
0302;Nunspeet;0,0929;;
0269;Oldebroek;0,1045;;
1586;Oost Gelre;0,1230;;
1509;Oude IJsselstreek;0,1195;;
1734;Overbetuwe;0,0808;;
0273;Putten;0,0591;;
0274;Renkum;0,0984;;
0275;Rheden;0,0996;;
0277;Rozendaal;0,0818;;
0279;Scherpenzeel;0,0943;;
0281;Tiel;0,1051;;
0285;Voorst;0,1018;;
0289;Wageningen;0,1180;;
1960;West Betuwe;0,1037;;
0668;West Maas en Waal;0,0840;;
0293;Westervoort;0,1362;;
0296;Wijchen;0,0998;;
0294;Winterswijk;0,0969;;
0297;Zaltbommel;0,0897;;
0299;Zevenaar;0,1338;;
0301;Zutphen;0,1109;;
0307;Amersfoort;0,0957;;
0308;Baarn;0,0798;;
0312;Bunnik;0,1093;;
0313;Bunschoten;0,0762;;
0310;De Bilt;0,0857;;
0736;De Ronde Venen;0,0639;;
0317;Eemnes;0,0997;;
0321;Houten;0,0839;;
0353;IJsselstein;0,0684;;
0327;Leusden;0,0858;;
0331;Lopik;0,1116;;
0335;Montfoort;0,1121;;
0356;Nieuwegein;0,0730;;
0589;Oudewater;0,1166;;
0339;Renswoude;0,0626;;
0340;Rhenen;0,1011;;
0342;Soest;0,0713;;
1904;Stichtse Vecht;0,0837;;
0344;Utrecht;0,0790;;
1581;Utrechtse Heuvelrug;0,0975;;
0345;Veenendaal;0,0783;;
1961;Vijfheerenlanden;0,0885;;
0352;Wijk bij Duurstede;0,1076;;
0632;Woerden;0,1085;;
0351;Woudenberg;0,0840;;
0355;Zeist;0,0577;;
0358;Aalsmeer;0,0904;;
0361;Alkmaar;0,0588;;
0362;Amstelveen;0,0557;;
0363;Amsterdam;0,0431;;
0373;Bergen (NH.);0,0875;;
0375;Beverwijk;0,0743;;
0376;Blaricum;0,0893;;
0377;Bloemendaal;0,1031;;
0383;Castricum;0,0672;;
0400;Den Helder;0,1036;;
0384;Diemen;0,0651;;
1980;Dijk en Waard;0,0721;;
0498;Drechterland;0,0879;;
0385;Edam-Volendam;0,0706;;
0388;Enkhuizen;0,0942;;
1942;Gooise Meren;0,0620;;
0392;Haarlem;0,0707;;
0394;Haarlemmermeer;0,0635;;
0396;Heemskerk;0,0706;;
0397;Heemstede;0,0648;;
0399;Heiloo;0,0728;;
0402;Hilversum;0,0630;;
1911;Hollands Kroon;0,0900;;
0405;Hoorn;0,0943;;
0406;Huizen;0,0460;;
1598;Koggenland;0,0934;;
0415;Landsmeer;0,0921;;
0417;Laren;0,0934;;
0420;Medemblik;0,1207;;
0431;Oostzaan;0,0950;;
0432;Opmeer;0,1315;;
0437;Ouder-Amstel;0,0781;;
0439;Purmerend;0,0749;;
0441;Schagen;0,1095;;
0532;Stede Broec;0,1334;;
0448;Texel;0,0323;;
0450;Uitgeest;0,1043;;
0451;Uithoorn;0,0853;;
0453;Velsen;0,0764;;
0852;Waterland;0,0902;;
1696;Wijdemeren;0,1148;;
0880;Wormerland;0,0944;;
0479;Zaanstad;0,0795;;
0473;Zandvoort;0,0638;;
0482;Alblasserdam;0,1004;;
0613;Albrandswaard;0,1038;;
0484;Alphen a/d Rijn;0,0777;;
0489;Barendrecht;0,0873;;
1901;Bodegraven-Reeuwijk;0,1260;;
0502;Capelle aan den IJssel;0,0762;;
0503;Delft;0,0949;;
0505;Dordrecht;0,0890;;
1924;Goeree-Overflakkee;0,0934;;
0512;Gorinchem;0,1021;;
0513;Gouda;0,0841;;
0523;Hardinxveld-Giessendam;0,1048;;
0531;Hendrik-Ido-Ambacht;0,0918;;
0534;Hillegom;0,0906;;
1963;Hoeksche Waard;0,0792;;
1884;Kaag en Braassem;0,0872;;
0537;Katwijk;0,0963;;
0542;Krimpen aan den IJssel;0,0896;;
1931;Krimpenerwaard;0,0858;;
1621;Lansingerland;0,0777;;
0546;Leiden;0,1066;;
0547;Leiderdorp;0,1134;;
1916;Leidschendam-Voorburg;0,0714;;
0553;Lisse;0,0968;;
0556;Maassluis;0,1115;;
1842;Midden-Delfland;0,1067;;
1978;Molenlanden;0,0809;;
0569;Nieuwkoop;0,1033;;
1930;Nissewaard;0,1027;;
0575;Noordwijk;0,0829;;
0579;Oegstgeest;0,1081;;
0590;Papendrecht;0,1158;;
1926;Pijnacker-Nootdorp;0,0727;;
0597;Ridderkerk;0,0907;;
0603;Rijswijk;0,0701;;
0599;Rotterdam;0,0652;;
0606;Schiedam;0,0754;;
0518;s-Gravenhage;0,0509;;
0610;Sliedrecht;0,0712;;
1525;Teylingen;0,0760;;
0622;Vlaardingen;0,1191;;
1992;Voorne aan Zee;0,0912;;
0626;Voorschoten;0,1226;;
0627;Waddinxveen;0,0892;;
0629;Wassenaar;0,0953;;
1783;Westland;0,0767;;
0637;Zoetermeer;0,1286;;
0638;Zoeterwoude;0,1162;;
1892;Zuidplas;0,1022;;
0642;Zwijndrecht;0,0862;;
0654;Borsele;0,1102;;
0664;Goes;0,1207;;
0677;Hulst;0,1017;;
0678;Kapelle;0,0892;;
0687;Middelburg;0,1141;;
1695;Noord-Beveland;0,0958;;
0703;Reimerswaal;0,0869;;
1676;Schouwen-Duiveland;0,1050;;
1714;Sluis;0,0858;;
0715;Terneuzen;0,1291;;
0716;Tholen;0,1086;;
0717;Veere;0,0783;;
0718;Vlissingen;0,1283;;
1723;Alphen-Chaam;0,0933;;
1959;Altena;0,0841;;
0743;Asten;0,1020;;
0744;Baarle-Nassau;0,0830;;
0748;Bergen op Zoom;0,0883;;
1724;Bergeijk;0,0731;;
1721;Bernheze;0,0847;;
0753;Best;0,0805;;
1728;Bladel;0,0688;;
0755;Boekel;0,1139;;
0757;Boxtel;0,1040;;
0758;Breda;0,0579;;
1706;Cranendonck;0,1019;;
0762;Deurne;0,1075;;
0766;Dongen;0,1181;;
1719;Drimmelen;0,0931;;
0770;Eersel;0,0680;;
0772;Eindhoven;0,0915;;
0777;Etten-Leur;0,0781;;
0779;Geertruidenberg;0,1008;;
1771;Geldrop-Mierlo;0,0645;;
1652;Gemert-Bakel;0,1254;;
0784;Gilze en Rijen;0,1047;;
0785;Goirle;0,1102;;
1655;Halderberge;0,0850;;
1658;Heeze-Leende;0,0912;;
0794;Helmond;0,1187;;
0797;Heusden;0,0890;;
0798;Hilvarenbeek;0,0888;;
1659;Laarbeek;0,0960;;
1982;Land van Cuijk;0,1031;;
0809;Loon op Zand;0,1071;;
1991;Maashorst;0,0726;;
1948;Meierijstad;0,0857;;
1709;Moerdijk;0,0726;;
0820;Nuenen c.a.;0,1061;;
0823;Oirschot;0,1032;;
0824;Oisterwijk;0,0994;;
0826;Oosterhout;0,0800;;
0828;Oss;0,0915;;
1667;Reusel- De Mierden;0,0846;;
1674;Roosendaal;0,0791;;
0840;Rucphen;0,0819;;
0796;'s-Hertogenbosch;0,0712;;
0845;Sint-Michielsgestel;0,1132;;
0847;Someren;0,0985;;
0848;Son en Breugel;0,0754;;
0851;Steenbergen;0,0940;;
0855;Tilburg;0,0719;;
0858;Valkenswaard;0,1065;;
0861;Veldhoven;0,0888;;
0865;Vught;0,0928;;
0866;Waalre;0,0933;;
0867;Waalwijk;0,0888;;
0873;Woensdrecht;0,1058;;
0879;Zundert;0,1077;;
0888;Beek;0,1235;;
1954;Beekdaelen;0,1188;;
0889;Beesel;0,1528;;
0893;Bergen L;0,0874;;
0899;Brunssum;0,1414;;
1711;Echt-Susteren;0,1063;;
1903;Eijsden-Margraten;0,1095;;
0907;Gennep;0,0924;;
1729;Gulpen-Wittem;0,1242;;
0917;Heerlen;0,1545;;
1507;Horst aan de Maas;0,1288;;
0928;Kerkrade;0,1698;;
0882;Landgraaf;0,1325;;
1640;Leudal;0,0902;;
1641;Maasgouw;0,0805;;
0935;Maastricht;0,1010;;
0938;Meerssen;0,1470;;
0944;Mook en Middelaar;0,1191;;
0946;Nederweert;0,1072;;
1894;Peel en Maas;0,0788;;
1669;Roerdalen;0,0968;;
0957;Roermond;0,1121;;
0965;Simpelveld;0,1565;;
1883;Sittard-Geleen;0,1657;;
0971;Stein;0,1177;;
0981;Vaals;0,1262;;
0994;Valkenburg aan de Geul;0,1348;;
0983;Venlo;0,1291;;
0984;Venray;0,1151;;
0986;Voerendaal;0,1308;;
0988;Weert;0,0917;;
0034;Almere;0,0962;;
0303;Dronten;0,1157;;
0995;Lelystad;0,1184;;
0171;Noordoostpolder;0,1108;;
0184;Urk;0,1279;;
0050;Zeewolde;0,1384;;
